order_id,customer_id,seller_id,order_date,order_value,quantity,product_category,discount_pct,payment_method,customer_state,delivery_zone,customer_order_count,customer_previous_rto_count,customer_previous_cancel_count,previous_successful_orders,customer_previous_rto_rate,days_since_last_order,seller_previous_orders,seller_previous_rto_count,seller_previous_rto_rate,orders_last_24h,orders_last_7d,device_order_count_7d,multiple_accounts_device,address_order_count,distance_seller_customer_km,estimated_delivery_days,is_weekend,is_holiday,seller_rating,customer_account_age_days,cod_amount,address_change_count_30d,failed_delivery_attempts_previous,night_order,rto
ORD000016,13444,1450,2024-01-01 15:00:00,417.91,1,Fashion,15.5,UPI,Karnataka,Rural,6,3,0,3,0.5,45.6,740,161,0.2176,2,8,2,0,4,133.3,2,0,0,4.08,20,0.0,0,0,0,0
ORD000017,13171,1214,2024-01-01 16:00:00,947.13,1,Footwear,19.4,COD,Delhi,Semi-Urban,14,2,0,12,0.1429,12.1,740,50,0.0676,0,5,2,0,5,77.6,3,0,0,4.73,215,947.13,0,0,0,1
ORD000018,12919,1631,2024-01-01 17:00:00,1423.08,2,Fashion,10.4,COD,Delhi,Urban,8,0,0,8,0.0,79.4,728,118,0.1621,0,2,2,0,3,100.8,2,0,0,4.22,985,1423.08,0,0,0,1
ORD000019,17831,1566,2024-01-01 18:00:00,726.47,2,Home,11.4,COD,Delhi,Semi-Urban,13,3,0,10,0.2308,29.0,762,47,0.0617,3,7,1,0,9,39.9,4,0,0,3.57,1764,726.47,0,1,0,0
ORD000020,10130,1026,2024-01-01 19:00:00,661.14,1,Fashion,24.6,COD,Karnataka,Urban,11,1,0,10,0.0909,77.6,752,23,0.0306,4,8,2,1,5,187.7,3,0,0,4.1,1104,661.14,0,0,0,1
ORD000021,11685,1629,2024-01-01 20:00:00,1253.06,3,Electronics,5.5,Credit Card,Delhi,Urban,6,0,0,6,0.0,8.0,762,66,0.0866,0,7,4,0,3,186.6,1,0,0,4.07,1741,0.0,0,0,0,0
ORD000022,17476,1732,2024-01-01 21:00:00,1149.01,2,Footwear,8.1,Debit Card,Karnataka,Semi-Urban,12,2,0,10,0.1667,22.9,744,62,0.0833,3,6,4,0,2,31.4,4,0,0,4.13,206,0.0,0,1,0,0
ORD000023,10769,1230,2024-01-01 22:00:00,1100.55,4,Footwear,14.2,COD,Delhi,Semi-Urban,10,2,2,6,0.2,4.9,764,19,0.0249,4,10,3,0,3,22.7,4,0,0,4.46,684,1100.55,2,0,1,0
ORD000024,12391,1564,2024-01-01 23:00:00,1835.76,2,Footwear,10.4,COD,Delhi,Urban,10,2,0,8,0.2,1.3,749,71,0.0948,0,6,4,1,2,196.1,2,0,0,3.71,486,1835.76,0,0,1,1
ORD000025,15611,1320,2024-01-02 00:00:00,865.51,1,Beauty,7.8,COD,Karnataka,Semi-Urban,7,0,0,7,0.0,4.0,770,29,0.0377,3,7,4,0,5,129.8,7,0,0,4.1,1451,865.51,0,0,1,1
ORD000026,17581,1232,2024-01-02 01:00:00,1328.43,1,Beauty,7.5,Debit Card,Maharashtra,Urban,12,0,0,12,0.0,33.4,778,89,0.1144,2,9,2,0,1,104.1,5,0,0,4.23,838,0.0,0,1,1,0
ORD000027,16949,1669,2024-01-02 02:00:00,809.19,2,Home,8.8,Credit Card,Karnataka,Urban,14,1,1,12,0.0714,50.1,703,72,0.1024,2,11,2,0,2,229.3,5,0,0,3.46,1974,0.0,0,0,1,0
ORD000028,12433,1436,2024-01-02 03:00:00,658.79,1,Home,11.5,UPI,Karnataka,Rural,10,0,1,9,0.0,1.6,760,64,0.0842,1,9,4,0,3,72.0,3,0,0,4.13,42,0.0,0,0,1,0
ORD000029,15311,1780,2024-01-02 04:00:00,924.4,1,Beauty,10.9,Credit Card,Bihar,Urban,12,1,0,11,0.0833,11.2,745,69,0.0926,1,8,2,1,2,73.8,4,0,0,4.39,569,0.0,0,0,1,0
ORD000030,15051,1532,2024-01-02 05:00:00,813.01,1,Footwear,10.6,COD,West Bengal,Urban,8,0,1,7,0.0,18.5,791,96,0.1214,2,7,3,0,4,195.1,4,0,0,4.34,39,813.01,2,0,1,1
ORD000031,16420,1402,2024-01-02 06:00:00,837.75,1,Beauty,6.5,COD,West Bengal,Semi-Urban,14,1,0,13,0.0714,15.2,722,46,0.0637,4,9,4,0,1,67.8,3,0,0,4.3,1913,837.75,0,0,0,0
ORD000032,11184,1052,2024-01-02 07:00:00,2206.57,1,Fashion,26.7,COD,Maharashtra,Semi-Urban,6,0,2,4,0.0,1.6,781,70,0.0896,2,7,1,0,8,96.1,6,0,0,4.27,1714,2206.57,0,0,0,1
ORD000033,14555,1786,2024-01-02 08:00:00,941.56,1,Footwear,10.4,UPI,Maharashtra,Semi-Urban,5,0,0,5,0.0,8.1,715,110,0.1538,0,2,2,0,3,60.4,5,0,0,4.34,1768,0.0,0,2,0,0
ORD000034,13385,1312,2024-01-02 09:00:00,736.76,1,Beauty,27.4,UPI,Maharashtra,Rural,6,1,0,5,0.1667,15.3,745,92,0.1235,2,11,3,0,2,101.9,4,0,0,3.62,109,0.0,2,0,0,0
ORD000035,14117,1280,2024-01-02 10:00:00,1115.26,2,Home,4.0,COD,West Bengal,Urban,9,2,0,7,0.2222,0.7,743,104,0.14,1,9,3,0,1,78.3,3,0,0,4.06,449,1115.26,0,0,0,1
ORD000036,16396,1725,2024-01-02 11:00:00,1167.4,1,Beauty,44.4,COD,Maharashtra,Urban,7,0,0,7,0.0,20.6,763,151,0.1979,1,5,6,0,2,94.1,2,0,0,4.16,1388,1167.4,0,0,0,1
ORD000037,14843,1030,2024-01-02 12:00:00,538.01,1,Electronics,20.9,UPI,Maharashtra,Semi-Urban,8,0,0,8,0.0,33.4,769,293,0.381,3,8,3,0,3,106.5,5,0,0,4.78,1678,0.0,0,0,0,0
ORD000038,12904,1336,2024-01-02 13:00:00,916.86,1,Beauty,9.2,COD,Karnataka,Urban,6,0,0,6,0.0,5.7,772,86,0.1114,1,8,5,0,1,152.7,3,0,0,4.32,246,916.86,1,0,0,0
ORD000039,17728,1182,2024-01-02 14:00:00,894.97,1,Footwear,11.3,COD,Karnataka,Semi-Urban,2,0,0,2,0.0,16.4,745,113,0.1517,1,7,3,0,4,638.0,5,0,0,3.79,804,894.97,0,0,0,0
ORD000040,10474,1022,2024-01-02 15:00:00,989.02,1,Beauty,18.6,COD,West Bengal,Semi-Urban,5,0,0,5,0.0,14.1,697,21,0.0301,2,8,2,0,2,190.4,5,0,0,3.85,104,989.02,0,1,0,0
ORD000041,11082,1543,2024-01-02 16:00:00,1694.79,1,Home,21.1,COD,Karnataka,Semi-Urban,9,1,1,7,0.1111,10.0,737,71,0.0963,4,9,6,0,3,297.1,2,0,0,4.03,23,1694.79,0,1,0,1
ORD000042,12558,1445,2024-01-02 17:00:00,1190.35,1,Fashion,9.4,UPI,Maharashtra,Semi-Urban,5,1,0,4,0.2,31.0,748,73,0.0976,2,9,3,0,3,177.1,5,0,0,3.13,1132,0.0,1,0,0,1
ORD000043,17849,1073,2024-01-02 18:00:00,2291.04,2,Electronics,9.5,COD,Karnataka,Urban,8,1,0,7,0.125,36.1,761,200,0.2628,1,5,2,1,1,168.3,3,0,0,4.08,1614,2291.04,0,0,0,0
ORD000044,12047,1009,2024-01-02 19:00:00,1088.99,1,Footwear,25.7,Debit Card,Bihar,Semi-Urban,3,0,0,3,0.0,7.5,779,38,0.0488,0,5,6,0,2,198.0,6,0,0,4.28,1849,0.0,1,0,0,0
ORD000045,17643,1483,2024-01-02 20:00:00,3183.23,1,Home,12.8,COD,Karnataka,Semi-Urban,6,1,0,5,0.1667,114.8,744,47,0.0632,1,5,3,0,2,123.4,1,0,0,3.66,1511,3183.23,1,1,0,0
ORD000046,12747,1455,2024-01-02 21:00:00,831.75,1,Electronics,6.6,UPI,West Bengal,Semi-Urban,12,0,0,12,0.0,16.2,740,51,0.0689,1,6,3,0,1,103.7,4,0,0,3.93,1940,0.0,0,3,0,0
ORD000047,10975,1565,2024-01-02 22:00:00,691.08,2,Beauty,12.8,Debit Card,Maharashtra,Urban,10,2,1,7,0.2,82.0,749,47,0.0628,0,6,6,0,5,99.9,7,0,0,4.51,750,0.0,0,0,1,0
ORD000048,11806,1563,2024-01-02 23:00:00,1522.92,3,Electronics,7.4,COD,Maharashtra,Urban,10,0,1,9,0.0,2.3,772,78,0.101,1,5,2,0,1,323.5,6,0,0,3.8,1060,1522.92,2,0,1,1
ORD000049,10189,1659,2024-01-03 00:00:00,2486.05,2,Fashion,8.3,COD,West Bengal,Urban,4,2,0,2,0.5,45.3,758,12,0.0158,1,3,5,0,3,132.0,5,0,0,3.6,370,2486.05,2,1,1,1
ORD000050,17101,1159,2024-01-03 01:00:00,479.49,1,Electronics,10.2,COD,Karnataka,Rural,13,1,0,12,0.0769,21.8,786,202,0.257,0,3,1,0,3,159.2,4,0,0,4.66,997,479.49,1,0,1,0
ORD000051,12734,1013,2024-01-03 02:00:00,974.38,1,Electronics,38.3,COD,Maharashtra,Urban,8,2,0,6,0.25,77.9,770,25,0.0325,0,6,2,0,1,168.4,7,0,0,4.56,1599,974.38,0,0,1,0
ORD000052,13005,1177,2024-01-03 03:00:00,760.16,1,Beauty,7.5,UPI,Maharashtra,Semi-Urban,10,2,1,7,0.2,26.1,766,196,0.2559,4,10,2,0,2,49.8,3,0,0,3.93,591,0.0,1,0,1,0
ORD000053,14658,1411,2024-01-03 04:00:00,1194.77,3,Beauty,15.1,COD,Bihar,Urban,8,0,2,6,0.0,29.0,751,12,0.016,0,5,2,0,3,121.9,2,0,0,4.48,1948,1194.77,0,0,1,1
ORD000054,11899,1052,2024-01-03 05:00:00,1103.24,1,Footwear,8.8,COD,West Bengal,Semi-Urban,14,3,1,10,0.2143,25.7,739,215,0.2909,1,5,2,0,2,297.6,4,0,0,4.43,429,1103.24,0,0,1,1
ORD000055,17734,1407,2024-01-03 06:00:00,2458.31,4,Beauty,24.0,Wallet,Karnataka,Urban,11,1,1,9,0.0909,4.5,743,92,0.1238,1,7,6,0,3,184.9,2,0,0,3.32,1564,0.0,1,1,0,0
ORD000056,11267,1021,2024-01-03 07:00:00,1027.58,2,Electronics,3.3,UPI,Karnataka,Rural,9,0,1,8,0.0,23.5,742,131,0.1765,1,7,2,0,2,73.9,7,0,0,4.54,40,0.0,0,0,0,0
ORD000057,16975,1029,2024-01-03 08:00:00,2502.06,2,Fashion,5.7,COD,Maharashtra,Rural,10,1,0,9,0.1,13.0,754,276,0.366,3,8,5,0,4,97.2,5,0,0,4.43,1239,2502.06,0,0,0,0
ORD000058,11528,1702,2024-01-03 09:00:00,907.72,1,Beauty,17.6,COD,Delhi,Urban,9,0,0,9,0.0,32.1,736,136,0.1848,1,10,2,0,5,58.2,3,0,0,3.64,663,907.72,0,0,0,0
ORD000059,13202,1259,2024-01-03 10:00:00,1911.97,2,Footwear,15.9,COD,Bihar,Semi-Urban,10,0,1,9,0.0,10.4,750,8,0.0107,2,6,4,0,3,252.8,4,0,0,4.21,1340,1911.97,0,1,0,0
ORD000060,13556,1204,2024-01-03 11:00:00,1257.9,1,Footwear,8.0,COD,Bihar,Semi-Urban,11,1,0,10,0.0909,34.8,717,145,0.2022,3,9,1,0,3,435.1,5,0,0,3.84,1672,1257.9,0,0,0,0
ORD000061,13890,1058,2024-01-03 12:00:00,3096.2,1,Electronics,16.7,COD,Bihar,Semi-Urban,7,1,0,6,0.1429,80.3,767,71,0.0926,1,6,2,0,1,77.8,3,0,0,4.4,885,3096.2,0,0,0,0
ORD000062,10646,1470,2024-01-03 13:00:00,452.05,1,Beauty,25.3,UPI,Maharashtra,Semi-Urban,13,0,1,12,0.0,3.1,746,125,0.1676,0,4,2,0,2,252.4,2,0,0,4.23,1222,0.0,0,0,0,0
ORD000063,16164,1775,2024-01-03 14:00:00,545.49,3,Beauty,8.6,COD,West Bengal,Rural,9,1,0,8,0.1111,19.1,768,85,0.1107,6,8,5,0,2,28.2,4,0,0,4.49,371,545.49,0,0,0,0
ORD000064,12888,1465,2024-01-03 15:00:00,3291.09,1,Footwear,12.3,Credit Card,West Bengal,Urban,6,0,2,4,0.0,26.2,762,180,0.2362,1,5,3,0,5,377.9,3,0,0,4.26,293,0.0,0,0,0,0
ORD000065,16310,1011,2024-01-03 16:00:00,706.3,1,Beauty,20.0,COD,Bihar,Urban,13,4,3,6,0.3077,13.2,804,143,0.1779,1,7,3,0,1,484.7,4,0,0,4.27,529,706.3,0,0,0,0
ORD000066,15393,1630,2024-01-03 17:00:00,733.71,1,Electronics,22.4,Credit Card,Delhi,Semi-Urban,12,0,1,11,0.0,41.3,794,71,0.0894,3,10,2,0,2,126.8,3,0,0,4.12,403,0.0,0,0,0,0
ORD000067,12435,1289,2024-01-03 18:00:00,648.44,2,Fashion,21.4,COD,Delhi,Semi-Urban,10,0,1,9,0.0,53.4,762,85,0.1115,1,6,3,0,3,189.6,5,0,0,4.34,552,648.44,0,0,0,0
ORD000068,10600,1759,2024-01-03 19:00:00,2184.34,2,Electronics,14.1,UPI,Karnataka,Urban,7,0,1,6,0.0,19.2,701,98,0.1398,3,6,3,0,4,38.4,1,0,0,4.67,1675,0.0,1,0,0,0
ORD000069,12363,1353,2024-01-03 20:00:00,516.94,2,Beauty,39.3,COD,Delhi,Urban,6,0,1,5,0.0,14.9,753,29,0.0385,3,10,4,0,1,337.2,5,0,0,4.03,802,516.94,0,0,0,1
ORD000070,12061,1638,2024-01-03 21:00:00,1111.51,1,Electronics,21.2,COD,Bihar,Semi-Urban,13,2,0,11,0.1538,33.1,786,83,0.1056,3,9,3,0,2,20.0,4,0,0,4.2,1657,1111.51,1,0,0,0
ORD000071,10241,1074,2024-01-03 22:00:00,935.08,1,Home,8.0,Credit Card,Karnataka,Semi-Urban,8,1,2,5,0.125,3.2,749,63,0.0841,1,6,4,1,2,67.2,1,0,0,3.86,1094,0.0,0,2,1,1
ORD000072,12041,1715,2024-01-03 23:00:00,2042.46,1,Home,10.3,COD,Bihar,Urban,11,2,1,8,0.1818,23.1,783,39,0.0498,3,6,2,0,3,6.6,5,0,0,3.94,1789,2042.46,0,0,1,1
ORD000073,12824,1560,2024-01-04 00:00:00,781.95,1,Beauty,18.4,Debit Card,West Bengal,Rural,9,1,0,8,0.1111,7.1,707,48,0.0679,1,6,2,0,2,158.4,1,0,0,4.01,1847,0.0,0,1,1,0
ORD000074,17513,1590,2024-01-04 01:00:00,1406.93,3,Beauty,30.9,Credit Card,Bihar,Urban,6,0,1,5,0.0,77.3,690,125,0.1812,2,4,2,0,1,18.0,3,0,0,3.88,1151,0.0,0,0,1,0
ORD000075,12612,1440,2024-01-04 02:00:00,543.09,1,Fashion,4.1,COD,Karnataka,Urban,10,1,0,9,0.1,22.1,715,18,0.0252,4,14,1,0,1,97.3,2,0,0,3.76,832,543.09,0,0,1,1
ORD000076,17041,1240,2024-01-04 03:00:00,4291.38,1,Electronics,8.9,Wallet,Bihar,Urban,13,5,0,8,0.3846,54.4,766,85,0.111,3,8,3,0,4,107.9,6,0,0,3.83,1909,0.0,0,0,1,1
ORD000077,11363,1153,2024-01-04 04:00:00,949.79,1,Fashion,6.9,COD,Maharashtra,Rural,8,2,1,5,0.25,8.6,748,83,0.111,2,5,2,0,5,136.1,3,0,0,3.99,1238,949.79,0,0,1,0
ORD000078,16235,1785,2024-01-04 05:00:00,1102.41,2,Beauty,15.4,COD,Karnataka,Semi-Urban,10,2,2,6,0.2,18.1,751,104,0.1385,2,6,4,0,5,257.7,5,0,0,4.32,542,1102.41,1,0,1,1
ORD000079,15486,1095,2024-01-04 06:00:00,2959.73,1,Beauty,30.5,Debit Card,Delhi,Urban,11,1,0,10,0.0909,6.2,799,218,0.2728,5,8,6,0,2,331.2,3,0,0,4.65,131,0.0,0,0,0,0
ORD000080,17099,1725,2024-01-04 07:00:00,771.24,1,Footwear,21.4,Wallet,West Bengal,Urban,14,3,1,10,0.2143,37.9,761,41,0.0539,2,9,3,0,3,78.0,3,0,0,4.09,818,0.0,0,0,0,1
ORD000081,11478,1293,2024-01-04 08:00:00,2982.24,2,Fashion,9.8,COD,Delhi,Semi-Urban,9,0,0,9,0.0,16.1,747,105,0.1406,1,14,2,1,2,179.3,6,0,0,4.26,1294,2982.24,0,1,0,0
ORD000082,17595,1208,2024-01-04 09:00:00,856.73,1,Beauty,29.7,UPI,Bihar,Semi-Urban,8,0,1,7,0.0,3.8,750,30,0.04,2,11,4,0,3,76.6,4,0,0,3.43,926,0.0,0,0,0,0
ORD000083,12556,1342,2024-01-04 10:00:00,1640.93,2,Home,16.4,COD,Delhi,Rural,10,2,1,7,0.2,4.8,725,134,0.1848,0,6,3,0,4,209.3,4,0,0,3.83,1705,1640.93,0,0,0,1
ORD000084,10775,1087,2024-01-04 11:00:00,777.74,1,Footwear,18.5,Credit Card,Karnataka,Semi-Urban,7,1,0,6,0.1429,37.6,727,85,0.1169,3,7,2,0,2,75.1,3,0,0,4.37,288,0.0,0,1,0,0
ORD000085,14014,1775,2024-01-04 12:00:00,486.08,2,Electronics,16.6,COD,Maharashtra,Urban,4,1,0,3,0.25,2.3,703,41,0.0583,3,11,2,0,2,379.7,5,0,0,3.64,1133,486.08,0,0,0,0
ORD000086,10034,1389,2024-01-04 13:00:00,1406.36,1,Footwear,15.7,COD,Delhi,Semi-Urban,6,1,0,5,0.1667,16.3,707,22,0.0311,1,10,4,0,2,349.5,3,0,0,3.24,492,1406.36,1,1,0,1
ORD000087,16349,1324,2024-01-04 14:00:00,1609.92,1,Electronics,14.6,COD,Bihar,Urban,8,0,0,8,0.0,7.6,711,116,0.1632,2,7,1,0,6,82.8,5,0,0,3.87,1488,1609.92,1,0,0,0
ORD000088,13152,1156,2024-01-04 15:00:00,497.93,3,Home,10.8,COD,Delhi,Rural,8,0,0,8,0.0,64.6,736,99,0.1345,3,9,3,0,2,307.0,3,0,0,3.79,1463,497.93,0,0,0,1
ORD000089,11955,1667,2024-01-04 16:00:00,912.11,1,Electronics,20.0,UPI,Delhi,Urban,11,1,0,10,0.0909,6.7,759,63,0.083,1,3,3,0,3,37.9,5,0,0,3.67,1493,0.0,0,0,0,0
ORD000090,11585,1650,2024-01-04 17:00:00,2253.99,1,Fashion,9.9,COD,Karnataka,Urban,7,0,2,5,0.0,4.6,717,93,0.1297,3,7,1,0,5,90.7,2,0,0,4.6,1670,2253.99,0,0,0,0
ORD000091,13943,1632,2024-01-04 18:00:00,1571.95,1,Electronics,18.7,UPI,Bihar,Urban,10,5,0,5,0.5,15.0,728,59,0.081,6,13,1,0,5,133.6,4,0,0,3.97,1147,0.0,0,0,0,0
ORD000092,17555,1576,2024-01-04 19:00:00,865.12,2,Electronics,25.7,UPI,Bihar,Urban,10,1,0,9,0.1,27.9,767,129,0.1682,5,8,3,0,4,80.2,4,0,1,4.44,1739,0.0,0,0,0,0
ORD000093,13073,1618,2024-01-04 20:00:00,766.23,1,Footwear,3.8,COD,Maharashtra,Urban,9,1,0,8,0.1111,29.3,753,63,0.0837,2,6,2,0,5,109.8,5,0,0,4.36,1672,766.23,1,0,0,1
ORD000094,11021,1658,2024-01-04 21:00:00,3529.62,4,Home,15.2,COD,Karnataka,Urban,5,0,0,5,0.0,26.0,769,11,0.0143,0,1,3,0,3,59.1,3,0,0,5.0,1070,3529.62,1,0,0,0
ORD000095,13461,1136,2024-01-04 22:00:00,460.28,4,Electronics,9.3,COD,Karnataka,Urban,9,1,0,8,0.1111,9.6,748,37,0.0495,3,12,1,0,4,51.2,5,0,0,4.07,139,460.28,0,0,1,0
ORD000096,12613,1673,2024-01-04 23:00:00,1058.37,2,Fashion,27.7,COD,West Bengal,Urban,8,1,0,7,0.125,0.7,733,72,0.0982,3,7,2,0,3,223.2,6,0,0,3.43,30,1058.37,0,0,1,0
ORD000097,15225,1427,2024-01-05 00:00:00,455.4,1,Footwear,20.8,COD,Maharashtra,Rural,9,0,0,9,0.0,26.8,753,28,0.0372,2,9,3,0,7,283.0,4,0,0,4.44,714,455.4,0,1,1,1
ORD000098,13843,1451,2024-01-05 01:00:00,2413.63,1,Home,4.1,COD,Maharashtra,Urban,11,0,1,10,0.0,57.7,662,50,0.0755,1,3,1,0,1,229.4,3,0,0,3.87,1530,2413.63,0,0,1,1
ORD000099,17989,1611,2024-01-05 02:00:00,1091.96,2,Home,10.9,COD,Bihar,Rural,8,0,0,8,0.0,9.6,821,60,0.0731,1,7,4,0,3,34.9,1,0,0,4.32,173,1091.96,0,0,1,0
ORD000100,11500,1140,2024-01-05 03:00:00,1220.36,1,Beauty,28.6,UPI,Bihar,Urban,12,1,0,11,0.0833,4.1,720,164,0.2278,0,6,3,0,1,37.5,3,0,0,4.02,313,0.0,0,0,1,0
ORD000101,14798,1082,2024-01-05 04:00:00,5775.24,1,Fashion,11.4,COD,Maharashtra,Urban,10,0,1,9,0.0,9.0,775,24,0.031,2,6,1,0,2,170.4,4,0,0,4.26,1918,5775.24,0,0,1,0
ORD000102,16545,1176,2024-01-05 05:00:00,768.1,1,Footwear,40.0,UPI,Karnataka,Semi-Urban,8,0,0,8,0.0,20.3,766,207,0.2702,1,5,4,0,4,94.0,3,0,0,4.25,1232,0.0,1,0,1,0
ORD000103,16873,1197,2024-01-05 06:00:00,3131.12,1,Footwear,33.2,UPI,West Bengal,Urban,5,0,0,5,0.0,36.5,764,177,0.2317,4,7,4,0,2,268.0,4,0,0,4.1,1213,0.0,0,0,0,0
ORD000104,15675,1623,2024-01-05 07:00:00,867.45,1,Fashion,26.0,Credit Card,Bihar,Urban,8,1,1,6,0.125,28.5,727,59,0.0812,3,5,4,0,3,126.0,4,0,0,3.96,611,0.0,0,0,0,0
ORD000105,10161,1567,2024-01-05 08:00:00,953.26,1,Home,11.8,COD,West Bengal,Rural,8,2,0,6,0.25,20.8,744,78,0.1048,1,4,2,0,4,133.7,3,0,0,3.81,610,953.26,0,1,0,0
ORD000106,14297,1690,2024-01-05 09:00:00,5339.6,2,Electronics,19.7,COD,Maharashtra,Urban,9,0,1,8,0.0,52.5,768,71,0.0924,2,8,2,0,1,137.6,7,0,0,4.01,1792,5339.6,1,0,0,0
ORD000107,11981,1420,2024-01-05 10:00:00,995.6,1,Fashion,13.3,Credit Card,Karnataka,Urban,10,1,2,7,0.1,36.6,746,17,0.0228,1,7,2,1,5,156.0,2,0,0,4.3,1741,0.0,1,1,0,0
ORD000108,10995,1400,2024-01-05 11:00:00,480.76,1,Footwear,18.0,COD,West Bengal,Semi-Urban,7,0,1,6,0.0,5.6,750,107,0.1427,1,4,4,0,2,147.5,4,0,0,4.23,801,480.76,1,0,0,1
ORD000109,16413,1697,2024-01-05 12:00:00,1298.74,1,Fashion,9.8,COD,Delhi,Urban,16,2,0,14,0.125,33.1,778,76,0.0977,0,8,2,1,2,206.9,4,0,0,4.58,1798,1298.74,0,0,0,0
ORD000110,14911,1470,2024-01-05 13:00:00,988.67,1,Home,17.8,UPI,Maharashtra,Semi-Urban,8,0,0,8,0.0,7.5,818,71,0.0868,3,8,3,0,3,105.9,2,0,0,4.56,1972,0.0,0,0,0,0
ORD000111,13342,1217,2024-01-05 14:00:00,1366.84,1,Beauty,34.6,Credit Card,Karnataka,Urban,7,1,1,5,0.1429,107.6,777,29,0.0373,3,6,2,0,2,173.6,1,0,0,3.86,1457,0.0,0,0,0,0
ORD000112,14551,1728,2024-01-05 15:00:00,1012.16,2,Beauty,18.5,COD,Maharashtra,Urban,13,1,0,12,0.0769,8.3,719,157,0.2184,3,14,3,0,2,565.6,3,0,1,4.42,1097,1012.16,1,0,0,0
